time,open,high,low,close,Volume
1761635700,3946.36,3947.93,3930.75,3931.15,10481
1761636600,3931.155,3934.15,3921.72,3931.055,8413
1761637500,3931.015,3936.555,3927.91,3932.495,10808
1761638400,3932.64,3935.9,3921.74,3921.845,9820
1761639300,3921.825,3924.585,3910.705,3914.945,14011
1761640200,3914.75,3916.765,3900.595,3905.54,10835
1761641100,3905.6,3910.18,3896.46,3897.275,10753
1761642000,3897.285,3904.315,3886.465,3897.445,12178
1761642900,3897.395,3907.925,3895.48,3904.9,8204
1761643800,3904.855,3911.26,3899.065,3910.09,9301
1761644700,3910.045,3910.785,3897.63,3904.635,8949
1761645600,3904.64,3909.23,3901.31,3902.12,8924
1761646500,3902.17,3909.375,3900.065,3905.32,8784
1761647400,3905.295,3922.995,3904.63,3915.66,10219
1761648300,3915.515,3931.53,3915.075,3926.74,10333
1761649200,3926.84,3927.49,3912.095,3916.22,14707
1761650100,3916.215,3920.81,3910.94,3918.23,11888
1761651000,3918.185,3928.96,3917.69,3928.085,12242
1761651900,3927.98,3930.1,3921.99,3923.455,9630
1761652800,3923.45,3928.94,3921.665,3926.315,9754
1761653700,3926.305,3929.89,3921.745,3921.84,13064
1761654600,3921.725,3926.28,3915.575,3916.2,14784
1761655500,3916.22,3916.585,3905.42,3912.815,14390
1761656400,3912.95,3929.28,3912.26,3923.11,18056
1761657300,3923.135,3933.985,3922.86,3932.625,13780
1761658200,3932.705,3933.865,3915.05,3922.765,20827
1761659100,3922.765,3940.445,3919.8,3939.085,22744
1761660000,3939.015,3944.77,3934.935,3939.065,16880
1761660900,3939.19,3950.15,3938.455,3949.845,19448
1761661800,3949.83,3950.295,3939.825,3946.175,17022
1761662700,3946.17,3954.065,3942.64,3949.72,13249
1761663600,3949.725,3960.18,3947.035,3959.285,17100
1761664500,3959.265,3960.585,3956.645,3958.545,9603
1761665400,3958.435,3964.785,3957.595,3963.57,9601
1761666300,3963.555,3969.615,3963.42,3964.89,7473
1761667200,3964.94,3965.605,3954.92,3963.51,12410
1761668100,3963.485,3964.99,3961.005,3963.25,7185
1761669000,3963.275,3964.87,3951.155,3955.67,15221
1761669900,3955.65,3959.925,3952.945,3958.73,9255
1761670800,3958.735,3969.94,3956.795,3969.66,8793
1761671700,3969.675,3970.465,3964.38,3967.345,6311
1761672600,3967.375,3969.265,3961.615,3964.06,6553
1761673500,3964.12,3965.43,3955.38,3962.35,7478
1761674400,3962.405,3964.155,3955.135,3959.595,6984
1761675300,3959.625,3960.695,3952.635,3954.605,6246
1761676200,3954.625,3955.305,3945.15,3952.11,9666
1761677100,3952.085,3957.485,3949.61,3956.47,6804
1761678000,3956.465,3958.715,3951.12,3953.695,9722
1761678900,3953.69,3958.83,3952.085,3955.75,9687
1761679800,3955.775,3957.64,3950.805,3956.52,4875
1761680700,3956.575,3962.775,3955.145,3960.395,10060
1761681600,3960.28,3961.01,3951.685,3954.4,3604
1761682500,3954.375,3957.775,3949.78,3951.42,3223
1761683400,3951.44,3956.585,3951.44,3955.205,3713
1761684300,3955.26,3955.495,3950.19,3953,1847
1761688800,3955.945,3956.025,3907.925,3937.12,4582
1761689700,3937.25,3950.605,3926.545,3946.5,6120
1761690600,3946.54,3947.955,3939.805,3943.425,3328
1761691500,3943.425,3943.425,3933.96,3934.17,5074
1761692400,3934.165,3949.26,3934.11,3947.575,3907
1761693300,3947.56,3954.325,3947.08,3951.12,2525
1761694200,3950.97,3959.87,3947.475,3959.84,3108
1761695100,3959.855,3967.85,3955.02,3964.945,6274
1761696000,3964.94,3969.32,3959.195,3961.88,7385
1761696900,3961.905,3972.245,3959.7,3971.145,3973
1761697800,3971.01,3982.495,3967.035,3981.595,6748
1761698700,3981.67,3982.26,3972.29,3975.325,7421
1761699600,3975.285,3979.9,3968.685,3977.145,9705
1761700500,3977.11,3979.37,3972.545,3973.51,9422
1761701400,3973.46,3974.9,3966.225,3967.745,10382
1761702300,3967.61,3977.255,3967.115,3973.75,8684
1761703200,3973.745,3974.38,3965.155,3966.755,6955
1761704100,3966.68,3970.27,3962.27,3963.685,6390
1761705000,3963.72,3965.065,3943.825,3954.44,12219
1761705900,3954.455,3961.65,3951.425,3961.285,8258
1761706800,3961.315,3964.295,3958.85,3959.355,8770
1761707700,3959.375,3970.39,3958.62,3964.795,10950
1761708600,3964.635,3972.45,3963.28,3969.77,7568
1761709500,3969.775,3970.78,3962.47,3963.525,4201
1761710400,3963.53,3965.075,3955.67,3955.995,6603
1761711300,3956,3962.055,3951.01,3953.425,8502
1761712200,3953.425,3960.27,3952.365,3959,3908
1761713100,3959.015,3959.37,3951.655,3952.085,3011
1761714000,3952.23,3963.545,3950.79,3956.055,5411
1761714900,3956.215,3960.975,3953.58,3957.95,4660
1761715800,3957.975,3966.39,3954.105,3965.105,6262
1761716700,3965.085,3965.745,3957.8,3962.765,6988
1761717600,3962.725,3970.73,3960.075,3968.595,8903
1761718500,3968.615,3974.325,3966.22,3970.79,7190
1761719400,3970.795,3981.925,3970.25,3981.19,7988
1761720300,3981.05,3984.81,3974.84,3978.38,8127
1761721200,3978.345,3997.36,3974.89,3995.26,11515
1761722100,3995.265,3998.8,3993.32,3996.61,10136
1761723000,3996.615,3997.505,3989.945,3995.035,10105
1761723900,3995.03,4001.765,3991.465,4001.765,7494
1761724800,4001.77,4010.095,4000.485,4007.39,8351
1761725700,4007.23,4011.285,4003.66,4010.36,6433
1761726600,4010.17,4014,4007.275,4011.055,6068
1761727500,4010.98,4018.595,4010.25,4017.015,7200
1761728400,4016.98,4021.795,4015.285,4016.345,9785
1761729300,4016.555,4020.09,4013.5,4017.35,7973
1761730200,4017.36,4020.815,4015.74,4019.565,10200
1761731100,4019.56,4029.68,4019.36,4023.935,11608
1761732000,4023.98,4025.96,4017.08,4022.24,9162
1761732900,4022.265,4029.67,4021.48,4024.655,9094
1761733800,4024.575,4029.595,4021.215,4026.305,9638
1761734700,4026.33,4029.835,4022.915,4023.59,8213
1761735600,4023.605,4028.565,4022.18,4022.28,7710
1761736500,4022.26,4025.68,4018.115,4018.43,12334
1761737400,4018.555,4021.1,4014.64,4018.165,11682
1761738300,4018.145,4019.635,4013.54,4016.61,11738
1761739200,4016.64,4029.28,4013.53,4028.445,14720
1761740100,4028.45,4030.34,4023.05,4026.395,15650
1761741000,4026.415,4028.89,4021.955,4026.175,9388
1761741900,4026.19,4028.125,4023.24,4025.55,12271
1761742800,4025.56,4025.79,4010.115,4012.665,13877
1761743700,4012.68,4019.73,4012.635,4018.6,10016
1761744600,4018.66,4019.47,4002.39,4006.87,22958
1761745500,4006.77,4014.105,4002.685,4012.47,17212
1761746400,4012.475,4022.51,4011.575,4017.05,18886
